Description,Label,sValue,Value
Phenotyping analysis,pval_permutations_thresh,0.0001,0.0001
Phenotyping analysis,pval_permutations_with_match_ratio_same_or_higher,0,0
Phenotyping analysis,total_permutations_with_match_ratio_same_or_higher,10000,10000
Phenotyping analysis,Perc of patients with >1 resistance profile,70,69.6969696969697
Phenotyping analysis,Mean number of resistance profiles per patient,3,2.96969696969697
Phenotyping experiment cohorts,exp_cohorts.total_fobt_isolates,646,646
Phenotyping experiment cohorts,exp_cohorts.total_uti_isolates,196,196
Phenotyping experiment cohorts,exp_cohorts.valid_fobt_isolates,646,646
Phenotyping experiment cohorts,exp_cohorts.valid_uti_isolates,196,196
Phenotyping experiment cohorts,exp_cohorts.n_fobt_patients_total,65,65
Phenotyping experiment cohorts,exp_cohorts.n_uti_patients_total,75,75
Phenotyping experiment cohorts,exp_cohorts.n_patients_total,86,86
Phenotyping experiment cohorts,exp_cohorts.n_uti_cultures_total,119,119
Phenotyping experiment cohorts,exp_cohorts.n_fobt_patients_valid,65,65
Phenotyping experiment cohorts,exp_cohorts.n_uti_patients_valid,75,75
Phenotyping experiment cohorts,exp_cohorts.n_uti_cultures_valid,119,119
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_fobt_isolates,694,694
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.valid_fobt_isolates,646,646
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.valid_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_fobt_patients,66,66
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.valid_fobt_patients,65,65
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.valid_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_uti_cultures,0,0
